Fecha,Base_Sin_Promocion,Promo_Recurrente,Recomendado,Protegido,Final
2026-01-01,177099.41972091302,182716.06290314713,182716.06290314713,197333.34793539892,182716.06290314713
2026-02-01,182564.48487686965,186570.52342910433,186570.52342910433,201496.1653034327,186570.52342910433
2026-03-01,193076.98386833922,198055.08089473288,198055.08089473288,213899.48736631154,198055.08089473288
2026-04-01,201528.14306287846,206197.3677884831,206197.3677884831,222693.15721156177,206197.3677884831
2026-05-01,216170.53338392713,223769.32410871363,223769.32410871363,241670.87003741073,223769.32410871363
2026-06-01,222065.12428493772,227511.6454667879,227511.6454667879,245712.57710413093,227511.6454667879
